pos00,pos01,pos02,pos10,pos11,pos12,pos20,pos21,pos22,player,step,result,game_id,state
-1,1,0,-1,1,1,1,0,-1,1,6,1,886,mid
-1,1,0,-1,1,1,1,-1,-1,-1,7,1,886,mid
-1,1,1,-1,1,1,1,-1,-1,1,8,1,886,end
1,0,0,0,0,0,0,0,0,1,0,1,887,start
1,0,0,0,-1,0,0,0,0,-1,1,1,887,mid
1,0,1,0,-1,0,0,0,0,1,2,1,887,mid
1,0,1,-1,-1,0,0,0,0,-1,3,1,887,mid
1,1,1,-1,-1,0,0,0,0,1,4,1,887,end
0,0,0,0,0,0,0,0,1,1,0,-1,888,start
0,0,0,0,0,-1,0,0,1,-1,1,-1,888,mid
0,0,0,0,0,-1,1,0,1,1,2,-1,888,mid
0,0,-1,0,0,-1,1,0,1,-1,3,-1,888,mid
0,1,-1,0,0,-1,1,0,1,1,4,-1,888,mid
0,1,-1,-1,0,-1,1,0,1,-1,5,-1,888,mid
1,1,-1,-1,0,-1,1,0,1,1,6,-1,888,mid
1,1,-1,-1,-1,-1,1,0,1,-1,7,-1,888,end
0,0,0,0,1,0,0,0,0,1,0,-1,889,start
0,0,0,-1,1,0,0,0,0,-1,1,-1,889,mid
0,0,0,-1,1,0,0,0,1,1,2,-1,889,mid
-1,0,0,-1,1,0,0,0,1,-1,3,-1,889,mid
-1,1,0,-1,1,0,0,0,1,1,4,-1,889,mid
-1,1,0,-1,1,0,-1,0,1,-1,5,-1,889,end
1,0,0,0,0,0,0,0,0,1,0,1,890,start
1,0,0,0,0,-1,0,0,0,-1,1,1,890,mid
1,1,0,0,0,-1,0,0,0,1,2,1,890,mid
1,1,0,0,0,-1,0,-1,0,-1,3,1,890,mid
1,1,0,0,0,-1,1,-1,0,1,4,1,890,mid
1,1,0,0,-1,-1,1,-1,0,-1,5,1,890,mid
1,1,0,1,-1,-1,1,-1,0,1,6,1,890,end
1,0,0,0,0,0,0,0,0,1,0,1,891,start
1,0,0,0,0,0,-1,0,0,-1,1,1,891,mid
1,0,0,0,0,1,-1,0,0,1,2,1,891,mid
1,0,0,0,-1,1,-1,0,0,-1,3,1,891,mid
1,1,0,0,-1,1,-1,0,0,1,4,1,891,mid
1,1,0,-1,-1,1,-1,0,0,-1,5,1,891,mid
1,1,0,-1,-1,1,-1,0,1,1,6,1,891,mid
1,1,0,-1,-1,1,-1,-1,1,-1,7,1,891,mid
1,1,1,-1,-1,1,-1,-1,1,1,8,1,891,end
1,0,0,0,0,0,0,0,0,1,0,-1,892,start
1,0,0,0,-1,0,0,0,0,-1,1,-1,892,mid
1,0,0,0,-1,0,1,0,0,1,2,-1,892,mid
1,-1,0,0,-1,0,1,0,0,-1,3,-1,892,mid
1,-1,0,0,-1,0,1,0,1,1,4,-1,892,mid
1,-1,0,0,-1,0,1,-1,1,-1,5,-1,892,end
1,0,0,0,0,0,0,0,0,1,0,0,893,start
1,0,0,0,0,0,-1,0,0,-1,1,0,893,mid
